id,name,nivel,adscripcion,perfil,descriptor,areas,lineas,menciones,enfasis,cupos_sem,cupos_tit
22,"Morales Mujica, Maria Paz ",,Docente invitada,Sin perfil en el portafolio académico,"Diseño editorial, el sector del libro y la lectura para adultos y también niñas, niños y adolescentes (NNA). Desarrollo e investigación vinculados a oficios, materiales, técnicas y experimentación gráfica.",7,2 3 4 6,2,1 3,0,0
23,"Núñez Gutiérrez, Pablo",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/24818,"Textos Textiles: Se indaga en las posibles narrativas que se pueden describir, relacionar e interpretar sobre el cuerpo, el textil y la indumentaria con un determinado contexto socio-político y cultural.",8,1 2 3 4,0 1 2,1 2 3,0,0
24,"Ode Saleh, Verónica",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/39338,"Investigación+creación en el cruce interdisciplinario entre arte y diseño, resaltando las posibilidades de generación de nuevos conocimientos y nuevas metodologías para la observación y el desarrollo propositivo, con especial atención en la imagen y la fotografía.",5 7,2 3 5,0 2,3,0,0
25,"Osorio Muñoz, Astrid",Prof. Adjunta,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/59788,"Materiales, tecnologías y procesos para el estudio, la investigación y la difusión de la morfología dentro del campo del diseño.",2 5 8,2 3,0 1,1 3,1,0
26,"Osses Flores, Roberto ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/54091,"Investigaciones en torno a las materialidades del libro, diseño editorial y tipografía, desde una perspectiva científica y/o humanística y con foco multidisciplinar, flexible, amplio y diverso.",5 6 7 8,4 5 6,2,1 2,0,0
27,"Pagueguy Fenner, Sebastian ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/50589,"Animación, VideoJuegos, Comics, Ilustración, Diseño Audiovisual, Documental, Experimental - Tecnológico.",5,2 3,2,1,0,2
28,"Pantoja Sánchez, Alejandro",,Docente invitado,Sin perfil en el portafolio académico,"Innovación tecnológica, Diseño y tecnología, Emprendimiento tecnológico, Diseño de interacción, Diseño de servicio, Diseño de Futuros.",1 2 5,2,1 2,1 2,0,0
29,"Pastor Martínez, Luciana ",Instructora,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/87203,"Áreas de investigación: estética y estudios visuales, desde una perspectiva feminista y decolonial. Temas: visualidad del paisaje latinoamericano; cultura visual en Chile; visualidades feministas; prácticas estéticas feministas en Chile; imaginarios visuales y urbanos.",7,4 5,2,2,0,0
30,"Perea Morales, René",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/23435,"Diseño industrial, fabricación digital avanzada y materiales experimentales. Mi enfoque incluye el diseño de experiencia y el desarrollo de prototipos, buscando fusionar estética y funcionalidad para crear soluciones innovadoras y significativas.",5,2 3,0 1,1 2 3,0,2
31,"Perelli Soto, Bruno",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/65724,"Estudio de la Imagen, Estudios Culturales, Patrimonio Tecnológico, Computer Vision, Internet of Things, Artes Mediales, Image Processsing, Physical COmputing, Fabricación Digital, Coding y Live Coding y Sound Design.",5 7,2 5,0 2,2 3,0,0
32,"Pinto Grunfeld, Manuel ",,Docente invitado,Sin perfil en el portafolio académico,"Análisis y gestión de marcas locales: Investigación, diagnósticos y soluciones aplicadas para proyectos multidisciplinarios con foco en identidades locales y tendencias culturales. Esto considera trabajo con audiencias, marcas, piezas audiovisuales, productos y servicios.",6 7,4 5,0 2,1 2,0,0
33,"Pradenas Guentherodt, Gabriela",Prof. Adjunta,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/34257,"Diseño gráfico en general, con experiencia en identidad visual, diseño editorial, ilustración aplicada a diseño de packaging, diseño de etiquetas de vino y otras piezas gráficas “display” corporativas en general. Experiencia en interacción del Color.",7 8,3 6,0 2,1,0,0
